Round,Training_Accuracy,Test_Accuracy,Round_Duration,Drift_Score
29,0.97654545,0.5714635848999023,5.868686199188232,0.0012245774269104004
30,0.97956365,0.5730554461479187,5.96984601020813,0.0015918612480163574
31,0.98203635,0.574475884437561,6.066623687744141,0.001420438289642334
32,0.98454547,0.5756514668464661,8.934984922409058,0.0011755824089050293
33,0.98661816,0.5769004821777344,6.01291298866272,0.0012490153312683105
34,0.98890907,0.5780270099639893,5.987724781036377,0.0011265277862548828
35,0.9908364,0.5787617564201355,5.9499781131744385,0.0007347464561462402
36,0.9930182,0.5794230103492737,5.978604793548584,0.0006612539291381836
37,0.99505454,0.5804516077041626,5.900941848754883,0.001028597354888916
38,0.9964727,0.58101487159729,8.965402841567993,0.0005632638931274414
39,0.99727273,0.5815292000770569,6.079877614974976,0.0005143284797668457
40,0.99807274,0.5822394490242004,5.939894437789917,0.0007102489471435547
41,0.9984364,0.5828517079353333,5.939694404602051,0.0006122589111328125
42,0.9988,0.583390474319458,5.931575059890747,0.0005387663841247559
43,0.9990182,0.5840027332305908,9.128965854644775,0.0006122589111328125
44,0.99923635,0.5839048027992249,5.99286413192749,-9.79304313659668e-05
45,0.99938184,0.5838803052902222,6.1186840534210205,-2.4497509002685547e-05
46,0.9995273,0.5840762257575989,6.176025152206421,0.00019592046737670898
47,0.9996727,0.5845170617103577,6.744246482849121,0.00044083595275878906
48,0.99970907,0.584590494632721,6.123017311096191,7.343292236328125e-05
49,0.9997454,0.5847129821777344,6.037664175033569,0.00012248754501342773
50,0.9997454,0.5850313305854797,6.678705930709839,0.00031834840774536133
51,0.9997454,0.5852272510528564,6.034264326095581,0.00019592046737670898
52,0.99978185,0.5854966640472412,6.467958211898804,0.0002694129943847656
53,0.9998182,0.5856680870056152,7.69197940826416,0.00017142295837402344
54,0.9998182,0.5857170820236206,7.680213451385498,4.8995018005371094e-05
55,0.99985456,0.5861824154853821,7.28036904335022,0.0004653334617614746
56,0.99985456,0.5865252614021301,6.920683145523071,0.0003428459167480469
